title,ratings,reviews
GreatPhone,50outof5stars,MyfirstIPhoneGreatphone
Buyonlyifyouliketothrowawayyourmoney,30outof5stars,Ihaveusedalltheapplephonessince2010andbeinganapplefancouldntwaittogetmyhandsonthelatestiPhonexTheonlythingthatIcansayaboutthisphoneisthatitisanoverpricedandoverhypedphoneNooutoftheworldfeatureinthisphoneIfyoulikeiOSthenratherbuyiPhone8plusandnotthisAlotofAndroidphonesareatparwiththisphoneandavailableatalowerprice
IndepthanalysisEpitomeofApplesvisionbutunworthyoftheprice,40outof5stars,ThisphonecarrieswithitselfgreathypeandconsequentlygreatexpectationsInmyexperiencehavinghadboththe8plusandthisthemainperceivabledifferencesbetweenbothareinthesizetheedgetoedgedisplayfrontcameraportraitmodetheabsenceofthehomebuttonthenewUIgesturesandofcourseFaceIDHowwellaretheseimplementedUIgesturesThenewwayofnavigationisverywellimplementedandIhavenotexperiencedanydifficultiesinadaptingtoorusingthemTheswipeupgesturetogohomeswiperightandholdformultitaskingetcarereallyeasyandintuitivePeoplehavebeencomplainingaboutthecontrolcentrenowaswipedownfromthetoprightcornerButIaskhowisthisdifferentfromthenotificationsandquicktoggleonAndroidwhichisalsoaswipedownfromthetopWiththenewbreedof189screenaspectratioAndroidphoneswhicharetallerthaneverbeforethisgestureisnonetheeasierIgiveitascoreof7510FaceIDWorkslikeacharmThesensorsareveryforgivingoftheanglebutitwontworkifyoureholdingyourphoneupsidedownorsidewaysApartfromthatitworksverywellIthasawiderangeofviewYoudonthavetobedeadcentreinfrontofthephoneforittounlockWorkswithsunglassesandspectaclesandhasnoproblemeitherinpitchdarkorbrightsunlightaslongasthesunisnotonyourfaceorbehindyouProspectivebuyersshouldnthaveanyapprehensionsregardingitApplehasgivenusaverygoodalternativetoTouchIDItscores810FrontcameraportraitNothingspecialYouhavetotryseveraltimesforittogiveanacceptableresultDoesntcomparewellwiththePixel2phonesYettheskintonesontheiPhonearealwaysfarmorenaturalthanitsAndroidcounterpartsDoesntdeservemorethan610OLEDDisplayYoureallyhavetolookfordifferencesbetweentheIPSLCDofthe8plusandtheXAppledoessuchagoodjobwiththecalibrationoftheirdisplaysthatfranklyIdontseemuchdifferenceinthequalityofcoloursbetweentheOLEDiPhoneXandtheLCD8plusYestheOLEDhasmorecontrastcomparedtotheLCDbutifyourelookingtobuyaphonepurelyforthepunchysaturationandvividnessofanOLEDdisplaythisisnotitYouddowelltolookattheSamsungNote8ApplealwaysfavourscolouraccuracyovervividnessThedisplayqualitydeservesan810Batterylifeisbetterthanthe8butworsethanthe8plusTheresnocompetitionIfyoureaheavyuseryouwillnotgetafulldaysuseoutofitPluschargingitisevenslowerthanthe8plusasthebatteryisactuallybiggerinsizeWirelesschargingisonboardbutisveryslowinmyexperienceIhavetheSamsungfastchargerthatcomeswiththeNote8anduseittochargethisphoneThebatteryscores610AnimojiFunifyouspendtoomuchtimemessagingpeopleoniMessageThenoveltyofitwillwearoffTheproblemisthatApplehasmadeusthinkitissomefuturisticcuttingedgetechbuiltintoitsTrueDepthsensorswhenitactuallyisntItisjustusingthefrontcameraforfacetrackingandtheresnoreasonwhyitcantbeportedovertothe8orolderiPhonesButweknowthatisnevergoingtohappenApplewillkeepupdatingnewcharacterstokeepAnimojiinterestingIgiveita510becauseitismarketedassomethingwhichitisntMYSCORE67510FAQs1HowisthesizeandinhandfeelThesizeofthephoneismuchmoremanageableinonehandThescreenisnarrowerandgiveslessscreenspacethantheplusmodelItfeelssolidandpremiuminthehandNocreakingsoundsyet2HowbadisTheNotchDoesntbothermeanywhereoutsideYoutubevideosorothervideostreamingplatformsItdoescutintothevideoifyoudecidetoexpandthevideotomakefulluseoftheavailablescreenItsnotnoticeableingeneralusagelikebrowsingsocialmediaormessagingCONCLUDINGTHOUGHTSInmyexperienceonehastolookatboththeiPhone88plusandtheiPhoneXinisolationtofullyappreciatethemIfonespendstimecomparingthemtheyreboundtofeelfrustratedastherearefartoomanysimilaritiestojustifythehugepricedifferenceIfyouresomeonewhomusthavetheshiniestofferingfromApplethentheXisforyouButifyouwantbangforyourbuckthengoforthe8plusasitispoundforpoundthebetterphonebetweenthetwoThedifferencesaresimplynotenoughtojustifyspendingextraThecameraperformanceprocessorRAMstorageoptionsappssoftwarefeaturesarethesameandtheXdoesntofferasmanyextrasthatmakeitstandapartfromitssiblingMaybenextyearAppleISITWORTHITTherewontbeacopouthereIfyourecontemplatingbetweenthisandthe8plusinmyopiniontobuythisphonethisyearatthispriceisnotworthitMypurchasepricewas875kEvenifyoucanafforditorhaveaniPhoneabovethe6sPlusyoucanskipitwithoutmuchremorseiPhone77plusarestillgreatphonesandifyoucanholdoffanotheryearthenthe2018lineupofiPhonesisshapinguptobeprettyexcitingComparedtotheiPhone8plusallthefeaturesthisphoneofferseitherlookedatinisolationorevenasawholedonotjustifygettingitGoingforwardalliPhonesaregoingtobedesignedlikethisandimproveuponitItsnotalimitededitionmodelwhichisamusthaveIfthisisgoingtobeyourfirstiPhoneorifyourelookingtoupgradefromaniPhone6or6sgoaheadItisagreatphoneandyouwontregretgettingitIhaveputphotosofthephonehereForthecamerasamplespleaseseemyiPhone8plusreviewasthereisnodifferenceinphotoqualitybetweenthetwoHereisthelinkhttpswwwamazoningpreviewR6DSET4ETOTXHrefpdpnewreadfullreviewlinkieUTF8
Gotgoodproductwithoutanyproblem,40outof5stars,UphhhhGotgoodproductwithoutanyproblem
FiveStars,50outof5stars,ExcellentProductQualityampPackingWasVeryGood
Nice,50outof5stars,NiceDeliverednextdayinthemorningIfyouarebuyingthisphonebuyafastchargeraswellfromAnkeroranyotherbrandChargerwhichisshippedwiththisphoneisdamnslow
greatproductmeets,50outof5stars,greatproductmeetsexpectations
Awsimelysuperbphoneworththemoney,50outof5stars,PerfectsuperbservicebyamazonpromtdeliverySuperawesomephoneilovethisNocomplainatall
AppleiPhoneverygoodphone,50outof5stars,VeryNiceandgoodphoneiloveit
ExcellentiPhoneXprovidedbyAppleyet,40outof5stars,ItisExcellentiPhoneXbutneedsomeimprovementlikesomeAppsnotworkproperlyoverallitisbest
Thisislove3Ijustlovethisphone,50outof5stars,Thisislovelt3IjustlovethisphoneexcellentfeaturescameraseverythingMustgoforthisAmazonservicesareexcellenttoo
FourStars,40outof5stars,ReceivedproductmuchbeforecommittedtimeTheChargingadaptorisnotworkingwhichhascomeintheBox
OverallGood,40outof5stars,GdlookingFaceIDisworkinggoodandsecurityfeaturesaregoodButpreinstalledcameraappdonthaveperfectoutcomeOverallgoodone
Notimpressed,10outof5stars,Uselessnotneertomyoldandroidphoneguysdontbuyititsawasteofmoney
Awesomepowerhousemachine,50outof5stars,AmazingpowerhousemachinewithbeautifulscreenHoweveritisnotfreeofconsHerearefewInoticed1ThereisnoofficialwayoftransferringWhatsappchathistory2Truecallercouldnotinterceptcallstoprovidecallerid3Nonativesupportforcallrecording4DeletingindividualmessagesSMSisahassleWishtheycouldveprovidedsamemechanismlikedeleteconversationorothermessagesieleftswipe5CouldnotclearallnotificationsinonegoRightcrossbuttontoclearallappearsafterawhile6WaitingforofficialwirelesschargerascouldnotfindreliablereviewsforotherbrandchargersImusingMacforaround4yearsnowandthereisnosoftwareglitchIveobservedThepurposeofgettingiPhonewastogetsimilarreliableOSandsoftwareperformancewhichmighttakesometimeforAndroidtocatchupandImhighlysatisfiedtillnow
Ireallyhatetheservice,10outof5stars,Ireallyhatetheservicesomeonealreadyopenedtheproductandinoticedsomefingerprintsonethephone
FaultyProduct,10outof5stars,PhoneisnotworkingandIamStrugglingtogetsupporttoo
Awesome,50outof5stars,Superbjustsuberb
FiveStars,50outof5stars,FascinatingproductandmeetsexpectationsofanAppleproduct
Lovingit,50outof5stars,BestiPhoneeverCostcanbealittlelesserclosertoUSpricenevertheless55fromme
from6or7plusthanyouwillfeellikesmalldeviceItsworthforaclassbutone,50outof5stars,Ifyouareupgradingfrom6or7plusthanyouwillfeellikesmalldeviceItsworthforaclassbutoneshouldwaitforbiggeriphone2018model
FiveStars,50outof5stars,Marvellousbutcostistoohigh
Nicelookingphonebutoverpriced,40outof5stars,DeliverywasveryfastwithprimeBeingaiPhoneusersince2008IexpectedthisphonetohaveXfactorbutphonegetshotwithevenslightlyabovenormalusagePhonedoesntWorth80kFacerecognitionisnotatparwithfingerprintsensorButifyouneedclassthenitstheonlyoption
THEBESTPHONEEVERBUTNOTGOODENOUGH,40outof5stars,TherevolutionaryiPhoneXisamongthetopreleasesoftheyearIthasbeenjustaboutthreemonthssincethephonehasbeenreleasedandthedemandisstillthesameTheiPhoneXcomeswithiOS11outoftheboxandispoweredbyApplesA11bionicprocessorThereareseveralmorefeaturesuserscanbragaboutbutisitactuallyworthbuyingLetushavealookatsomeoftheprosandconsofiPhoneXsothatyoucaneasilydecidewhethertobuyitornotProsOfIPhoneX1FaceID2DualCamera3OLEDDisplay4Animoji5AugmentedReality6PortraitModeConsOfIPhoneX1Price2iPhone8PlusisaBetterChoice3HomeButtonisRemoved4FastChargingDoesntComeforFreeRatings1Design9102Display9103Software9104Performance10105Battery9106Canera9107Valurformoney6108Overall910Ifthisreviewhelpedyoupleasevoteforhelpful
GreatPhone,50outof5stars,GotProductOnTimeThankyouAmazonPhoneIsworkingGreatJustlovingitExcellenttouchcamerafaceIDLookEverythingIsJustPerfect
Verynicephone,50outof5stars,Nicephone
StableandDesign,50outof5stars,AfterSamsungS2J7On8andS7movedtoiPhoneXforsecuritystabilityanddesignGladImovedtoiPhoneXUsingitfor4hrsandslightlygetsheatbutnothatbadthenS7FaceIDisexcellentfeatureGoforitandreallywrothspendingforthisphone
Nice,50outof5stars,BestphoneandverypromptdeliveryIboughtthephonefromthesellerapparioretailGotanoriginalproductwithoutanytamper
FiveStars,50outof5stars,TohotnsexyphoneIloveapple
Amazingproductandgreatdelivery,50outof5stars,UndoubtedlyitsagreatpieceofinnovationiPhoneXisnotonlyapremiummobilebutagreatproductThankstoamazonformakinganontimedeliveryandgreatpacking
LOVEIT,50outof5stars,Ifyouareanapplesnobyoullloveit
FiveStars,50outof5stars,Great
PerfectphoneButnothappywithamazon,10outof5stars,PerfectphoneButnothappywithamazonSomeglitchesandbatteryproblemNotsureifamazonisrightplacetomakesuchpurchase
Goforthis,50outof5stars,IwouldntdescribethisasaphoneitsapieceofartthemomentyouopentheboxyoucanseethebeautifuliPhoneXItsworthspendingalittleextra
Best,50outof5stars,IamveryhappywithAppleiPhonexItisverybestever
Happy,50outof5stars,QuickdeliveryAwesomedeviceHappycustomer
Awesomephone,40outof5stars,Switchedfromandroidtoiphonefor1sttimeandsofarhavinggoodexperienceMissingsomeofthehandyfeaturesandsettingsfromandroidbutiphonehasitsownwayofsettingthingsup
ItsthebestThephoneyouusedescribesyourpersonalityas,50outof5stars,ItsIphoneasweknowitItsthebestThephoneyouusedescribesyourpersonalityassomepeoplesayit
Owesomeiphoneever,50outof5stars,Superbdurableprofessionalcamerareallifecolourdisplayloudcrystalclearaudioincrediblefaceid
ThebestfromApplesofar,40outof5stars,OneofthefinestdeviceIveeverusedIdhavegivena5stariftheergonomicswerebetterSomeoftheappsarenotyetreadyforthiskindoffulldisplaybutmostoftheappsworkflawlesslyIwouldstillprefertheformfactorofiPhone7withabuildqualityofiPhonexanimozidisplayqualityandofcoursefaceid
FourStars,40outof5stars,iPhonexiswirelessbutugiveuswire
BestphoneupgradefromiPhone7Plus,50outof5stars,AwesomephoneBestupgradefrommyiPhone7PlusThesizeisperfectAbsolutelyloveit
Nothappywiththepurchase,20outof5stars,MissingheadphonesfrominsideapackedboxDidntexpectthat
DidntincludelighteningcablechargerwireWTFCLOUDTAIL,10outof5stars,DidntincludelighteningcablechargerwireWTFCLOUDTAIL
FiveStars,50outof5stars,Thisisreallysgreatphone
Excellentphone,50outof5stars,Excellentservicebyamazonthephoneisgoodandbatterylifeisverygood
FiveStars,50outof5stars,Goodphone
FiveStars,50outof5stars,Goodforit
FiveStars,50outof5stars,Simplywow
iPhoneXstuckatblackscreenwithApplelogo,20outof5stars,IvebeenaniPhoneusersinceiPhone4InfactmywholeworkplatformisbasedonAppleproductsButthistimeitwasquitedisappointingtoseeafaultydeviceItsnotthesellerbutthebuildqualityforsureMyphonegotstuckafterthefirstrestartItkeptshowingablackscreenandtheapplelogoagainampagainItsaknownissuebutveryfewpeoplegotthisIeventriedallofthementionedfixesbutnoneworkedHadtosubmitthedevicetoAppleservicecenterandnowthereisawaitingperiodofatleast10daystillIgetanewdeviceortheyfixthisoneVerydishearteningforsuchanexpensivedeviceAgainnothingagainstthesellerastheydonthaveanythingtodowiththis
Excellent,50outof5stars,ReallyawesomeLooklikeunbelievableGorgeousbeautiful
FiveStars,50outof5stars,Iloveiphonex
themicrophoneonthephoneweakormakeitbadlikewhenyouanswerthephonecallthenvoice,40outof5stars,Oksothereisatipforanyiphoneusersorwhohasaniphone10ifyougotogymregularlynyoudosweatalotthenneverkeepyourphoneinthepocketitwillmakethemicrophoneonthephoneweakormakeitbadlikewhenyouanswerthephonecallthenvoiceofthereceipentwouldnotbeaudibleyouneedtohavesharphumanlisteningskillinordertounderstandwhattheotherpersonissayingbecausethethesweatfromthepocketreachestothephonenscrewswiththemicrophonesoNEVERPUTYOURPHONEINYOURPOCKETDURINGGYMTHEWHOLETIME
Goodmobile,50outof5stars,iPhonexspecificationsisgreatCameraandapplicationofthismobileisfantastic
5starstoafabulousphone,50outof5stars,bestphoneevercameraisjustmindblowingpictureclarityisgreatsoundsystemisalsogreat
Highpricefornothingextraordinary,30outof5stars,NothingexcitinginthehardwareDefinitelynotworththishighcost
FiveStars,50outof5stars,Goodexperience
FiveStars,50outof5stars,Usingsincefromlaunchowsemeonephonemeansiphoneitsmy5thone
Awesomephone,50outof5stars,IhavethisphoneanditisveryniceandtereisnohearingprobleminitalthoughIplaygamesevenfor4hours
FiveStars,50outof5stars,NoDoubtAmazingphoneExcellentperformance
FiveStars,50outof5stars,Good
FiveStars,50outof5stars,Greatdevice
Besteverproductfromamazon,50outof5stars,BeautifulphonefromamazonIloveitnbestpartisthatIgotaexcellentservicefromamazon
ThemostamazingiPhoneyet,50outof5stars,ThemostamazingiPhoneyetThealmostbezelfreescreenisvibrantandsharpFaceIDandusegestureshavemadeoperatingthephonesoeasyintuitiveandsmoothThecameraisawesomeandportraitmodeandportraitlightareoutstandingWiththegivenspecsthephoneisveryfastandgreatlyresponsiveAllappsareyetnotoptimisedforiPhoneXsooneneedstowaitforthatchangetoenjoythisbeautifulhandsettothemaximum
OneStar,10outof5stars,DuplicataproductwasdliveredWithduplicatecharger
BeautifuldesignediPhonebyapple,50outof5stars,IreceivedmyXonlaunchdayandIabsolutelylovethisphoneIfyouwouldlikealistofjustmythoughtsonthephonescrolldownpasstheintroductionThetransitionNOhomebuttonThestapleoftheiPhoneisgonewellmovedtoalittlenotchatthetopIwasexpectingthistransitiontoahomebuttonlessiPhonetobedifficultbutallofthegesturesfeelsonaturalIfindmyselfannoyedtryingtoutilizedanolderiPhoneastheinterfacenowfeelsclunkySwitchingthroughappsopeningthephoneaccessingeverythingitsallsoeasyNowthisisnttosaythereisntatransitionandwhileeverythingfeelsnaturalthereisaperiodoftimewhereyouhavetogetusedtothenewinterfaceandsomeaspectsthatinitiallyseemeddifficultbecomesecondnatureForexamplereachabilitywasafavoritefeatureofmineandwhileitwasinitiallyhardtoactivateIhavenowlearnedhowtoactivateitwithoutanissuereachabilitybringstheiPhonescreendownhalfwaytoreachtoppartsofthescreenwithoutmovingyourhandFaceIDIwasskepticaltosaytheleastbutFaceIDworksalmostperfectItdoeshoweverlearnfromitsmisstepsandifitfailstoidentifyyouitwilladdthatdatatoitscacheIpersonallyscannedmyfacenormallythefirsttimeandonthesecondscandiditatroughlya45degreeanglesoIcouldleanovermyphonetoviewnotificationsAsIveadjustedtoFaceIDithasgottenfasterandfasteratscanningmyfaceanditsnotsomethingyouneedtowaitontoopenyourphoneBythetimeyouswipeuponyourphoneitsunlockedandreadytogoIseriouslyforgetIhaveapasswordIalsoreallyenjoytheabilitytoutilizeFaceIDformypasswordforotherloginsandtheabilitytoopenupanappdirectlyfromthelockscreenwithouthavingtothenentermyfingerprintpasscodeItsimportanttonoteherethatyourprivacyiswellyoursNoonehasaccesstothedataFaceIDgathersanditistrulyyoursApplehasagoodtrackrecordonkeepingyourdataprivateastheyarenotinthedatabusinesshelloGoogleampFacebookWhatIloveThescreenlooksamazingThecolorsarevibranttheblacksaredeepwithblackwallpapersflowingaimlesslyintothephonetothepointyoucannotseethenotchinthescreenifthewallpaperisblackTheNotchYesthenotchSomepeopleseemtohateitIthinkitsiconicandmakestheiPhoneXstandaloneinoledsphereItfadesintotheuserexperienceandIhavenothadanyissueswithitThescreensizeIhavealwayswantedaplusbutIalwaysfeltlikeitwastoobigformyhandsThatIwoulddropthephoneandthereitgoesTheXremediesthisformeandIgettousealargerscreeninnearlythesameformfactorasmy6SThescreentrulylooksamazingandifyouhaventseenonecheckoneoutatalocalstoreImnotsurehowmuchofthisisjustbecausemy6SwasafewyearsoldbutthetapticengineintheXisamazingAsinwhenthephonevibratesIcaneasilyidentifywhatitisthroughthevibrationandthevibrationitselffeelssmoothForcetouchisalsofantasticandthehapticfeedbackoneverythingfromalikeontwittertomovingappsaroundiswonderfulMakesthescreenfeelmorethreedimensionalinawayThecameratakeswonderfulpicturesIhavetakenafewpicturesinportraitmodeandsomepicturesgenuinelylookliketheyweretakenwithaDSLRcameraThespeakersarelouderthanIexpectedandsoundveryclearGreatforimpromptumusiclisteningThephoneisalittleheavybutitisdefinitelycomfortabletoholdItfeelslikealuxurydeviceandhasacertainweighttoitWhatIdontHonestlyIdonothaveagenuinecomplaintatthispointTheonlycomplaintthatcomestomindrevolvesaroundthelackofoptimizationIhavefacedinsomeappsbutthatisadeveloperproblemandeventhendevelopershaveoptimizedamajorityoftheirappsandmyissueshavebeenfewandfarbetween
FiveStars,50outof5stars,greatphonegreateveryfeatureilovemyiphonex
FiveStars,50outof5stars,Awesome
FourStars,40outof5stars,Goodphonebutvulnerabletobreakageasithaslittleprotectiononsideofthescreen
Bestiphoneever,50outof5stars,Itsjustfabinitiallywasconcernedfromreviewsbutwhenuuseitubecomeaddictofit
FiveStars,50outof5stars,FantasticiPhoneyoufallinloveasyouuse
ThedisplayisdefectiveDidnotexpectthisfrom,10outof5stars,ThedisplayisdefectiveDidnotexpectthisfromamazonaswellasAppleDisplayhaspinkhueissue
OneStar,10outof5stars,Cameraisnotworking
Bestperformance,40outof5stars,FaceidcameradisplayisbestBestperformanceButpriceishigh
Peoplecanthearmeoncallsfromiphonex,10outof5stars,IamiPhoneuserfromlast6yearsIhavehadiphonexsincelast2weeksButoverthecallIhavemadeIhavehadeveryonesaysmyvoiceisveryfaintortheydoesnthearmeatallIsthissoftwareproblemIhaddiscussionwithonlinecustomerservicerepresentativeandalsoatappleauthorisedservicecenterandtheydidsomediagnosticbutitdoesntworkedLessthanaweekowningitisprettydisappointingafterspendingthishugeamountItriedwithandwithoutcasetooNeedhelpfromapplesupportorAmazon
FiveStars,50outof5stars,Worthofbuyingit
HappynContent,50outof5stars,NiceWorkingallfineGoodvalueBestphoneavlnow
Beastmode,50outof5stars,Beast
FiveStars,50outof5stars,itisamazingphoneiwanttobuyformybrother
Greatphone,40outof5stars,BoughtthisphoneinnovemberWhatiloveaboutthephone1Itsscreen2Thephoneisfast3Camerasbothfrontandreararegreat4BatterylifeisprettygoodTheonlydownsideisthechargingspeedThephonechargesslowwiththestandardchargingcablethatcomesoutoftheboxIpersonallyfeelappleshouldhaveatleastgivenafastchargerwithsuchanexpensivedevice
FourStars,40outof5stars,Good
FiveStars,50outof5stars,Worthbuying
FiveStars,50outof5stars,VeryNiceworkingiPhonehaveanemojiksystemthatthebest
Excellentmobile,50outof5stars,IhaveworldsbestbrandphonefromamazonThnxamazonamphdfcforprovidingmegreatcashbackFeaturesareawesomebutbatterybackupnotgoodApplepleasedosomethingaboutbatterybackupIhavenotreceivedcashbackfromhdfcTheyyoldmetotalktoamazonnamazontoldmetotalktohdfcbankKindlygivemycashback
OneStar,10outof5stars,stoppedworkingin25dayswhatelsetosayfortheexpensivestuff
CommendableDelivery,50outof5stars,Exceptionaldeliverywithin24hrsatgoodbargainPhoneisexceptional
Best,50outof5stars,Itisagreatphonereallyitsgood
OneStar,10outof5stars,IamnotabletoturntheiPhoneONNotabletoreturntheitem
FiveStars,50outof5stars,ThisisiPhoneXNodoubtIllevergiveitlessthan5IwouldstronglyrecommendyoutomakeavideoofopeningtheboxwhenyourreceiveitlikeIdidItwouldgiveyouproofifyourproductisperfectordamagedIdidthesameanditturnedouttobeperfectformeIdontknowaboutothersAsfarasIknowamazonprovide1015daysreturnpolicyonAppleiPhoneX
FiveStars,50outof5stars,Excellentphone
FiveStars,50outof5stars,Excellent
ThreeStars,30outof5stars,Batterydrainsveryfast
ItsbestphoneevermadebyApple,40outof5stars,OrderedthiswithApplesgenuine12Wchargingadapterthe5WwhichcomesisextremelyslowandtakesagestochargeIfsitsworthforthispricetagisstilldebatableIvebeenusingiPhonessinceiPhone6daysandimcompletelyintoApplesecosystemhavealmosteveryAppleProductsopricedontreallymatterforme
FiveStars,50outof5stars,Awesomeandworthit
ExtremelyDisappointing,10outof5stars,ExtremelydisappointedwithIphoneXItsbeen14dayssinceIboughtthephoneandalreadyIamunabletohearanythingoverregularvoicecallsonthephoneAfterspendingsomuchIamunabletousethephoneforitsbasicfeaturemakingcallsAfterspeakingwithApplecustomercareforover2hoursIamyettoreceiveasolutionwhichmaytake23daysButcomeonItsthebasicfunctionofaphoneMyworstpurchaseeverAlsoifyoustillhavetowasteyourmoneyonthispremiumproductthenmostdefinitelydontbuyonlinethroughAmazoncausetheyprovidezerosupportTheyhavea10dayreturnpolicyandyourphonestopsworkingon14thdayandyouareabandonedandleftonyourowntodealwithappleWhobtwdontreplaceyourphoneandinsteaddosomeinvestigationandtaketheirownsweettimeAnddidImentiontheproblemisthebasicfeatureofanyphoneUnabletohearanythingoncallsAnditdoesntmatterwhatyourrevieworfeedbackoryourexperienceisbothAppleandAmazoncaremoreabouttheirprofitmakingpoliciesratherthanthecustomersexperienceorproblemsYoucanrestassuredthatyourissuesandfeedbackisjustbackgroundnoisetothemWhatsworseisthatthiswasmygifttomymumAnditturnedouttobeanutterflopNeveragainAmazonnorApple
Bestphoneinthemarket,50outof5stars,Greatphoneitdoeseverythingexceptionallywell
Dream,50outof5stars,MydreamphoneIloveit
FiveStars,50outof5stars,Good
FiveStars,50outof5stars,Appleisthebestcompanyinthisworld
FiveStars,50outof5stars,Ihaveusedthisphonelast3month
Good,50outof5stars,Good
AwesomeiPhoneX,50outof5stars,TheiphoneXhascomeupwithsomespectacularfeaturesandtillnowisoneofthebestoutalliPhoneseriesMoreoveritsveryhandyalsotocarryButonepointhastobementionedherethatbatterybackupshouldhavebeenlittlebitbettersofarappleisconcernedOutstandingservicefromtheVendorasthephonereceivedwithin24hours
85000,10outof5stars,85000
iPhoneXhasverygoodbatteryefficienttomanuarandverygoodlooking,50outof5stars,iPhoneXhasverygoodbatteryefficienttomanuarandverygoodlookingphoneimTotallysatisfied
Iphone,50outof5stars,HellothisisiPhonex
Defectiveproduct,10outof5stars,IncomingcallnotdisplayingimmediatelyTouchproblemwhilereceivingincomingcall
OneStar,10outof5stars,worstproduct
Good,40outof5stars,Verygoodversion
FiveStars,50outof5stars,asalwaysappleisthebest
FiveStars,50outof5stars,PleasetestingforaiPhonex
Bestphone,50outof5stars,Lovewordisenoughforit
FiveStars,50outof5stars,Bestphoneusedever
YourmoneywillnotgowasteAmazingcamera,50outof5stars,ThisisthephoneyoushouldbuyifyoucanafforditYourmoneywillnotgowasteAmazingcameraamazingprocessorfaceIDistopnotchandthereisnocomparisonforthisphoneLovingit
awsm,50outof5stars,nycphone
TwoStars,20outof5stars,Phonerecievedingoodqualitybutspeakerisnotworkinggudvoiceiscrackinginspeakermodenothappy
FiveStars,50outof5stars,Ilikethisphone
